Price,Units Ordered,Inventory Level,Discount,Holiday/Promotion,Competitor Pricing,valor_real,prediccion,probabilidad_alta_demanda,clasificacion_real,clasificacion_predicha
81.75,42,494,20,1,82.03,1,1,0.8808737987185254,Alta demanda,Alta demanda
86.38,67,260,10,0,90.98,1,0,0.4609589002525072,Alta demanda,Demanda normal
17.08,124,488,20,1,21.1,1,1,0.8796992564648622,Alta demanda,Alta demanda
18.07,82,383,0,0,22.01,0,1,0.7302808837023576,Demanda normal,Alta demanda
89.59,162,158,10,0,85.77,0,0,0.2535085420053577,Demanda normal,Demanda normal
43.75,166,259,10,0,48.65,1,0,0.4668096879278627,Alta demanda,Demanda normal
51.42,37,298,0,1,52.16,0,1,0.5508781914727944,Demanda normal,Alta demanda
58.14,161,149,5,0,56.05,0,0,0.24046676131586628,Demanda normal,Demanda normal
86.77,96,115,15,0,89.56,0,0,0.18674623836880028,Demanda normal,Demanda normal
76.07,39,460,5,1,78.94,0,1,0.8420879495259198,Demanda normal,Alta demanda
50.22,128,410,20,0,46.27,1,1,0.7780190060205682,Alta demanda,Alta demanda
97.36,182,375,10,1,101.22,1,1,0.7112302084208036,Alta demanda,Alta demanda
31.18,85,265,5,0,27.48,0,0,0.48001685881395,Demanda normal,Demanda normal
43.87,80,469,10,0,40.56,1,1,0.8557309992464772,Alta demanda,Alta demanda
43.04,175,245,0,0,44.32,1,0,0.4326275465069352,Alta demanda,Demanda normal
93.76,55,146,15,0,89.72,0,0,0.2326698292983556,Demanda normal,Demanda normal
51.17,67,154,10,0,53.94,1,0,0.2493208925476986,Alta demanda,Demanda normal
94.78,177,279,15,0,89.78,0,1,0.5072755143656856,Demanda normal,Alta demanda
19.46,160,52,10,1,14.89,0,0,0.11932104534441391,Demanda normal,Demanda normal
53.64,158,471,10,1,55.47,1,1,0.8585016794747667,Alta demanda,Alta demanda
87.98,65,258,5,0,86.34,0,0,0.45507960807567976,Demanda normal,Demanda normal
76.17,171,415,15,0,76.24,1,1,0.7823904687932862,Alta demanda,Alta demanda
26.07,69,217,0,0,22.55,0,0,0.37225878602041806,Demanda normal,Demanda normal
59.73,121,468,0,0,62.56,1,1,0.8519471137258368,Alta demanda,Alta demanda
74.76,198,122,20,0,73.34,0,0,0.2001701527493314,Demanda normal,Demanda normal
46.72,44,93,5,1,50.46,0,0,0.15999125373598305,Demanda normal,Demanda normal
22.5,35,170,5,1,18.19,0,0,0.2811133244279492,Demanda normal,Demanda normal
82.06,77,263,10,1,77.99,0,0,0.47085643731370264,Demanda normal,Demanda normal
48.43,39,474,5,1,50.61,1,1,0.860386509226885,Alta demanda,Alta demanda
77.58,181,203,20,1,73.03,1,0,0.3449122362773944,Alta demanda,Demanda normal
56.7,128,216,20,0,56.45,0,0,0.37245188144593,Demanda normal,Demanda normal
76.67,95,331,20,1,78.14,1,1,0.6269999850943129,Alta demanda,Alta demanda
67.89,179,355,20,0,67.9,1,1,0.6778415057311232,Alta demanda,Alta demanda
85.12,78,301,15,1,86.15,1,1,0.5580033408998877,Alta demanda,Alta demanda
46.66,146,223,10,1,50.47,0,0,0.38744289840051777,Demanda normal,Demanda normal
76.72,38,426,20,0,79.08,0,1,0.7983165047085197,Demanda normal,Alta demanda
31.92,71,491,0,1,30.06,1,1,0.8787754268574799,Alta demanda,Alta demanda
30.06,115,320,10,1,30.21,1,1,0.6073702075839894,Alta demanda,Alta demanda
67.38,110,234,20,0,67.24,1,0,0.40970958292615983,Alta demanda,Demanda normal
13.19,112,331,15,0,11.31,1,1,0.633499643880039,Alta demanda,Alta demanda
13.57,105,173,15,1,18.44,0,0,0.2908025799880364,Demanda normal,Demanda normal
63.74,107,134,10,0,61.83,0,0,0.21618833451047118,Demanda normal,Demanda normal
82.81,33,268,20,0,84.31,0,0,0.4824729184378503,Demanda normal,Demanda normal
30.15,67,247,0,0,29.09,0,0,0.43730958809668713,Demanda normal,Demanda normal
83.13,130,292,5,0,86.22,0,1,0.5340065587234096,Demanda normal,Alta demanda
71.8,68,283,5,0,66.92,0,1,0.5147503795858261,Demanda normal,Alta demanda
12.38,120,210,10,0,17.04,1,0,0.36249954329977707,Alta demanda,Demanda normal
62.56,151,246,10,1,59.13,0,0,0.43658060667423304,Demanda normal,Demanda normal
83.08,66,447,20,1,80.47,0,1,0.8282901519608413,Demanda normal,Alta demanda
64.64,129,77,5,1,66.46,0,0,0.14082556412175562,Demanda normal,Demanda normal
47.62,38,162,0,1,45.9,1,0,0.26230611835578493,Alta demanda,Demanda normal
13.07,121,270,20,0,9.56,0,0,0.49950153315103696,Demanda normal,Demanda normal
49.3,79,426,15,0,50.25,0,1,0.800495081276574,Demanda normal,Alta demanda
41.17,121,140,0,1,42.54,0,0,0.22688266781233607,Demanda normal,Demanda normal
81.39,97,173,5,1,78.87,0,0,0.2802591864266826,Demanda normal,Demanda normal
86.94,135,470,5,0,85.04,1,1,0.8532889159152003,Alta demanda,Alta demanda
83.25,86,480,5,0,88.22,0,1,0.8639447623224956,Demanda normal,Alta demanda
72.36,144,272,10,0,74.51,0,0,0.4919443920561132,Demanda normal,Demanda normal
55.76,62,469,15,1,51.26,1,1,0.8562926318658922,Alta demanda,Alta demanda
97.17,33,156,0,1,96.09,0,0,0.24616139815295943,Demanda normal,Demanda normal
98.6,119,440,20,0,94.41,1,1,0.8173184784651838,Alta demanda,Alta demanda
93.52,77,423,20,0,96.39,0,1,0.7926421646432156,Demanda normal,Alta demanda
63.31,199,328,5,1,68.16,1,1,0.6195083648792072,Alta demanda,Alta demanda
85.85,84,372,10,0,85.08,1,1,0.7045524737073311,Alta demanda,Alta demanda
51.62,45,175,15,1,48.74,0,0,0.2894672341443817,Demanda normal,Demanda normal
97.18,193,211,0,0,97.64,0,0,0.35147806019132966,Demanda normal,Demanda normal
84.73,98,343,15,1,82.83,1,1,0.6499968707943593,Alta demanda,Alta demanda
56.39,94,271,5,0,53.32,1,0,0.49001347706533604,Alta demanda,Demanda normal
86.43,162,209,15,1,84.89,1,0,0.35419140298630003,Alta demanda,Demanda normal
51.91,73,244,20,0,48.76,1,0,0.4338267740390012,Alta demanda,Demanda normal
74.29,180,291,0,0,70.76,0,1,0.5329032576540881,Demanda normal,Alta demanda
22.13,56,283,0,1,18.87,0,1,0.5218798819368736,Demanda normal,Alta demanda
87.54,198,144,5,1,91.42,1,0,0.23033703254275698,Alta demanda,Demanda normal
80.44,169,435,10,1,77.75,0,1,0.8115909542415857,Demanda normal,Alta demanda
81.58,62,367,20,1,81.73,0,1,0.6991122191632652,Demanda normal,Alta demanda
66.65,132,424,20,1,71.06,1,1,0.7983470681421756,Alta demanda,Alta demanda
66.14,50,300,0,1,62.86,1,1,0.5537455755722803,Alta demanda,Alta demanda
52.47,105,403,5,1,49.75,1,1,0.7639160439887311,Alta demanda,Alta demanda
95.39,168,130,10,1,93.44,0,0,0.20867895019827987,Demanda normal,Demanda normal
30.72,116,436,20,0,35.31,0,1,0.8175227645903106,Demanda normal,Alta demanda
38.43,191,430,20,1,35.93,1,1,0.8106398602383569,Alta demanda,Alta demanda
75.14,108,99,0,0,78.86,0,0,0.16400942497988463,Demanda normal,Demanda normal
76.99,55,245,20,1,73.86,1,0,0.43359265699654115,Alta demanda,Demanda normal
89.24,157,191,20,0,84.89,0,0,0.3173164223526442,Demanda normal,Demanda normal
72.14,106,66,20,0,74.88,0,0,0.12980274352159477,Demanda normal,Demanda normal
70.99,141,468,5,0,67.86,1,1,0.8523062240567483,Alta demanda,Alta demanda
24.31,33,261,15,0,19.99,0,0,0.47421047730728744,Demanda normal,Demanda normal
11.7,46,108,5,0,10.82,0,0,0.18168289473044283,Demanda normal,Demanda normal
92.72,121,137,5,1,88.56,0,0,0.21816954360558177,Demanda normal,Demanda normal
90.61,78,123,5,1,93.46,0,0,0.19652045921268302,Demanda normal,Demanda normal
77.59,22,77,15,1,77.76,0,0,0.1405471825441852,Demanda normal,Demanda normal
36.1,56,364,15,1,34.19,1,1,0.6978340314852405,Alta demanda,Alta demanda
72.12,171,486,5,1,70.55,1,1,0.8726270447610239,Alta demanda,Alta demanda
41.31,115,210,5,1,41.62,1,0,0.35872080537204964,Alta demanda,Demanda normal
63.94,104,171,20,1,66.14,0,0,0.2823165253943934,Demanda normal,Demanda normal
11.2,79,471,5,0,11.95,1,1,0.8594271389887174,Alta demanda,Alta demanda
74.56,166,324,5,0,78.31,1,1,0.6072695591055978,Alta demanda,Alta demanda
72.74,140,156,0,1,70.38,0,0,0.25041021819023473,Demanda normal,Demanda normal
55.89,146,392,0,1,57.0,1,1,0.7440653731580789,Alta demanda,Alta demanda
39.57,91,387,5,0,37.81,1,1,0.7366002896132857,Alta demanda,Alta demanda
82.11,30,311,10,1,83.13,1,1,0.5784517215046532,Alta demanda,Alta demanda
80.56,192,362,5,0,79.16,0,1,0.6862373652635881,Demanda normal,Alta demanda
17.62,176,170,15,0,19.88,0,0,0.2846057965327465,Demanda normal,Demanda normal
59.46,131,188,20,1,54.58,1,0,0.316274147372725,Alta demanda,Demanda normal
39.27,192,149,10,0,37.15,1,0,0.24411968193618253,Alta demanda,Demanda normal
59.4,145,86,10,0,60.97,0,0,0.1516225270418375,Demanda normal,Demanda normal
34.0,122,302,5,0,37.75,1,1,0.5637331072260865,Alta demanda,Alta demanda
34.83,192,65,20,0,31.74,0,0,0.13223268809422165,Demanda normal,Demanda normal
89.74,56,500,10,1,92.77,1,1,0.884749299361303,Alta demanda,Alta demanda
28.02,194,363,15,0,32.53,1,1,0.6972507071718749,Alta demanda,Alta demanda
23.5,20,80,20,0,25.46,0,0,0.1478567480106044,Demanda normal,Demanda normal
83.52,142,64,5,0,88.5,0,0,0.12511286469419966,Demanda normal,Demanda normal
87.8,147,499,0,0,84.61,1,1,0.8828583361285299,Alta demanda,Alta demanda
50.13,143,117,0,0,46.04,0,0,0.1908736269672963,Demanda normal,Demanda normal
24.59,44,157,0,1,28.13,0,0,0.25596859019524065,Demanda normal,Demanda normal
47.08,25,74,0,1,49.64,0,0,0.13714270949078308,Demanda normal,Demanda normal
79.76,57,403,0,0,76.25,1,1,0.7580520558176578,Alta demanda,Alta demanda
10.92,48,109,0,0,8.22,0,0,0.18228012682913686,Demanda normal,Demanda normal
77.11,148,58,5,1,77.45,0,0,0.12051509650893283,Demanda normal,Demanda normal
41.45,123,256,0,0,43.19,0,0,0.4566997844785507,Demanda normal,Demanda normal
72.9,81,420,0,1,75.39,1,1,0.7870873465264788,Alta demanda,Alta demanda
73.76,161,112,15,0,69.18,0,0,0.1848463479413589,Demanda normal,Demanda normal
78.51,29,215,20,1,75.16,1,0,0.3673169925023981,Alta demanda,Demanda normal
76.86,54,458,0,0,76.72,1,1,0.8381487920716479,Alta demanda,Alta demanda
35.87,71,113,15,0,36.0,0,0,0.18849370518564793,Demanda normal,Demanda normal
58.16,164,92,10,1,59.72,0,0,0.15993125472646935,Demanda normal,Demanda normal
10.92,137,279,15,1,9.95,1,1,0.5204376934250143,Alta demanda,Alta demanda
47.76,33,216,0,0,46.36,1,0,0.3663337944289842,Alta demanda,Demanda normal
52.03,32,490,5,1,51.21,1,1,0.876839394026873,Alta demanda,Alta demanda
36.63,111,55,15,1,32.49,0,0,0.12140803913008584,Demanda normal,Demanda normal
27.5,83,329,15,1,23.12,1,1,0.6284158636099044,Alta demanda,Alta demanda
59.74,82,302,0,0,62.26,0,1,0.5577532980443399,Demanda normal,Alta demanda
22.33,180,302,5,0,24.06,1,1,0.5666366016894037,Alta demanda,Alta demanda
80.14,75,414,0,0,78.2,1,1,0.776084449205213,Alta demanda,Alta demanda
46.48,105,382,10,0,50.55,1,1,0.7279059569854385,Alta demanda,Alta demanda
63.88,169,453,5,0,66.83,1,1,0.8348276909755133,Alta demanda,Alta demanda
61.18,200,313,15,0,60.6,1,1,0.5890221577522546,Alta demanda,Alta demanda
69.65,192,470,10,0,73.5,0,1,0.8556470959460653,Demanda normal,Alta demanda
77.86,128,232,15,0,81.6,0,0,0.4022759681186551,Demanda normal,Demanda normal
24.42,154,474,10,0,20.4,1,1,0.863319945036684,Alta demanda,Alta demanda
42.94,198,267,0,1,38.08,0,0,0.4849163836660095,Demanda normal,Demanda normal
41.06,74,230,10,1,39.73,0,0,0.40267943248490584,Demanda normal,Demanda normal
53.72,188,313,5,1,58.61,1,1,0.5879563316671099,Alta demanda,Alta demanda
17.91,158,274,20,1,22.74,1,1,0.509476134856127,Alta demanda,Alta demanda
67.91,169,201,20,0,65.94,1,0,0.34031157157312986,Alta demanda,Demanda normal
65.48,64,262,15,1,67.97,1,0,0.4718908163547068,Alta demanda,Demanda normal
14.0,164,475,15,0,18.37,1,1,0.8656345203802752,Alta demanda,Alta demanda
76.28,110,467,5,0,75.46,0,1,0.8503745131248633,Demanda normal,Alta demanda
63.61,44,368,5,1,63.81,0,1,0.6990549295679689,Demanda normal,Alta demanda
66.01,66,60,10,1,64.17,0,0,0.12330748097571745,Demanda normal,Demanda normal
67.52,43,392,0,0,71.78,1,1,0.7399145416781591,Alta demanda,Alta demanda
35.32,55,386,5,1,38.94,1,1,0.7357198894757836,Alta demanda,Alta demanda
89.5,102,485,20,0,84.68,0,1,0.871412147057055,Demanda normal,Alta demanda
92.86,25,190,10,1,91.88,0,0,0.3112594460109104,Demanda normal,Demanda normal
23.77,41,331,5,0,25.61,0,1,0.6276192923848707,Demanda normal,Alta demanda
78.44,84,285,5,1,79.62,1,1,0.5196916324297077,Alta demanda,Alta demanda
82.96,175,468,0,0,78.07,1,1,0.8509758597887624,Alta demanda,Alta demanda
13.38,197,109,5,0,14.65,0,0,0.18440699855541157,Demanda normal,Demanda normal
65.06,61,116,5,0,69.46,0,0,0.18774723955389047,Demanda normal,Demanda normal
82.27,189,225,5,0,81.54,1,0,0.3847635127512514,Alta demanda,Demanda normal
39.94,194,408,5,0,35.78,1,1,0.7734602380933774,Alta demanda,Alta demanda
78.66,153,126,15,0,81.38,0,0,0.2039303369752205,Demanda normal,Demanda normal
45.25,29,314,10,1,46.66,1,1,0.5904464815749357,Alta demanda,Alta demanda
22.27,100,71,15,1,25.77,0,0,0.1385142189114657,Demanda normal,Demanda normal
26.89,131,348,10,0,29.32,1,1,0.6654903098667219,Alta demanda,Alta demanda
10.59,167,349,15,0,13.81,1,1,0.6716003095261129,Alta demanda,Alta demanda
53.15,175,273,20,0,53.62,0,1,0.5009594349402526,Demanda normal,Alta demanda
84.56,21,200,5,1,86.62,0,0,0.33058929267940146,Demanda normal,Demanda normal
90.75,69,62,10,1,88.56,0,0,0.1237057392035249,Demanda normal,Demanda normal
66.32,159,468,5,1,65.42,1,1,0.8535239892856532,Alta demanda,Alta demanda
83.51,120,313,0,0,86.05,1,1,0.5795300183898137,Alta demanda,Alta demanda
73.23,175,359,15,1,71.85,1,1,0.6851046882158366,Alta demanda,Alta demanda
97.87,166,55,0,1,93.14,0,0,0.11600086341877695,Demanda normal,Demanda normal
95.23,105,131,15,0,99.86,0,0,0.20911199348362594,Demanda normal,Demanda normal
90.74,115,359,20,1,90.3,0,1,0.6831978934442738,Demanda normal,Alta demanda
10.21,161,458,5,1,14.03,1,1,0.8460138740346617,Alta demanda,Alta demanda
58.86,119,330,15,0,54.16,1,1,0.6252798573668845,Alta demanda,Alta demanda
72.94,166,401,10,1,75.56,1,1,0.7599946389187165,Alta demanda,Alta demanda
29.12,142,321,10,1,27.62,0,1,0.6102632229558674,Demanda normal,Alta demanda
48.71,111,331,5,1,50.22,1,1,0.6267775513846855,Alta demanda,Alta demanda
24.05,168,274,5,0,28.13,1,1,0.5024806261526119,Alta demanda,Alta demanda
55.29,178,164,0,1,56.32,0,0,0.26673397967573353,Demanda normal,Demanda normal
63.56,119,241,5,1,65.28,0,0,0.4227427013702842,Demanda normal,Demanda normal
30.62,151,329,10,1,34.31,1,1,0.6270376430008427,Alta demanda,Alta demanda
81.59,78,76,10,0,79.97,0,0,0.13819703229566924,Demanda normal,Demanda normal
89.29,183,197,20,0,87.99,0,0,0.32948642739347395,Demanda normal,Demanda normal
18.9,144,222,10,1,22.63,1,0,0.38921871042482953,Alta demanda,Demanda normal
49.26,43,428,5,0,50.16,1,1,0.8009911397682615,Alta demanda,Alta demanda
70.28,186,159,20,0,72.15,1,0,0.2598576844152993,Alta demanda,Demanda normal
59.17,102,107,5,1,60.96,0,0,0.17752008059184804,Demanda normal,Demanda normal
35.06,37,429,15,0,39.02,1,1,0.8055569912296047,Alta demanda,Alta demanda
32.72,83,189,10,0,27.91,0,0,0.3168909390603944,Demanda normal,Demanda normal
35.57,114,435,10,1,39.07,1,1,0.8148006793916343,Alta demanda,Alta demanda
23.1,71,65,10,0,21.43,0,0,0.13056137965151263,Demanda normal,Demanda normal
95.88,169,63,5,1,99.67,0,0,0.12424549550630835,Demanda normal,Demanda normal
23.75,37,187,10,1,19.72,0,0,0.3147155080374835,Demanda normal,Demanda normal
44.25,103,486,5,0,45.86,1,1,0.8731375540618797,Alta demanda,Alta demanda
37.86,102,350,0,0,32.88,1,1,0.665338661407953,Alta demanda,Alta demanda
17.16,111,249,15,1,14.8,0,0,0.4508564686556888,Demanda normal,Demanda normal
36.83,79,111,15,1,39.78,0,0,0.18653725011375033,Demanda normal,Demanda normal
12.7,114,425,15,0,13.18,1,1,0.8029696723276833,Alta demanda,Alta demanda
67.71,143,402,20,0,65.3,1,1,0.7633587959620414,Alta demanda,Alta demanda
46.66,77,232,5,0,45.34,1,0,0.4032731568822883,Alta demanda,Demanda normal
99.78,187,201,5,1,100.32,0,0,0.33331695204061973,Demanda normal,Demanda normal
72.66,48,368,20,0,70.19,1,1,0.700795811297815,Alta demanda,Alta demanda
24.42,125,78,15,0,22.0,0,0,0.14582423846752215,Demanda normal,Demanda normal
88.72,126,90,0,1,90.69,0,0,0.1530518102791663,Demanda normal,Demanda normal
37.82,134,304,20,0,33.55,1,1,0.5731251057754104,Alta demanda,Alta demanda
11.57,139,274,10,1,11.42,1,1,0.5073345219222525,Alta demanda,Alta demanda
48.86,27,313,20,1,52.81,0,1,0.5905340051281085,Demanda normal,Alta demanda
17.01,138,383,10,0,17.47,0,1,0.7338820915605128,Demanda normal,Alta demanda
43.42,112,310,10,0,47.82,1,1,0.5815309917799214,Alta demanda,Alta demanda
60.09,93,454,0,1,61.19,1,1,0.8357332138718285,Alta demanda,Alta demanda
73.74,144,413,0,0,71.05,1,1,0.7760660657017244,Alta demanda,Alta demanda
96.48,69,129,5,0,95.89,1,0,0.2037822626563827,Alta demanda,Demanda normal
94.23,160,233,5,0,94.3,0,0,0.39989910300714115,Demanda normal,Demanda normal
37.91,119,138,20,0,38.82,0,0,0.22734327696202994,Demanda normal,Demanda normal
59.32,103,491,5,0,56.29,1,1,0.8772914798733361,Alta demanda,Alta demanda
29.89,65,99,20,0,28.56,0,0,0.1711255927526099,Demanda normal,Demanda normal
77.63,59,499,5,0,76.24,1,1,0.8834337194388574,Alta demanda,Alta demanda
24.9,149,392,10,1,27.37,1,1,0.7499359309163701,Alta demanda,Alta demanda
14.73,113,230,10,1,18.62,1,0,0.40677140186049454,Alta demanda,Demanda normal
98.45,131,333,20,1,99.69,0,1,0.6288178770065558,Demanda normal,Alta demanda
70.8,80,232,20,0,69.6,1,0,0.4043705266068417,Alta demanda,Demanda normal
33.0,98,418,0,0,35.25,1,1,0.7872131554848039,Alta demanda,Alta demanda
72.17,48,316,5,1,74.92,1,1,0.5896393583970285,Alta demanda,Alta demanda
70.37,118,128,15,1,73.08,0,0,0.2083602629812626,Demanda normal,Demanda normal
38.84,93,376,0,1,35.21,1,1,0.7169038200474984,Alta demanda,Alta demanda
29.41,74,248,5,1,30.77,1,0,0.4427129133714229,Alta demanda,Demanda normal
18.48,78,100,0,0,14.04,0,0,0.1700909670241759,Demanda normal,Demanda normal
25.4,97,342,15,0,22.6,1,1,0.6546477138217113,Alta demanda,Alta demanda
86.08,99,145,0,1,83.28,0,0,0.23011620580931583,Demanda normal,Demanda normal
90.75,143,413,0,1,90.68,1,1,0.7752250219509489,Alta demanda,Alta demanda
25.62,107,405,10,0,27.54,0,1,0.769830665766961,Demanda normal,Alta demanda
48.96,103,218,5,1,48.07,1,0,0.3744948483593657,Alta demanda,Demanda normal
32.29,87,120,10,0,28.43,0,0,0.1981858072202677,Demanda normal,Demanda normal
58.67,151,66,5,1,61.94,0,0,0.12963953990882024,Demanda normal,Demanda normal
48.56,104,392,15,1,48.41,1,1,0.7479947507053901,Alta demanda,Alta demanda
70.36,193,178,0,1,72.23,0,0,0.290750667703107,Demanda normal,Demanda normal
13.63,174,434,10,1,14.73,1,1,0.816175488388064,Alta demanda,Alta demanda
61.03,150,108,10,0,65.54,0,0,0.17906715787953975,Demanda normal,Demanda normal
54.91,110,403,0,0,53.27,1,1,0.7613669629651787,Alta demanda,Alta demanda
18.99,78,277,0,0,20.6,1,1,0.5071004991664783,Alta demanda,Alta demanda
63.18,59,344,20,1,66.58,0,1,0.6554244597445776,Demanda normal,Alta demanda
76.92,131,252,20,1,79.85,0,0,0.45022264625750485,Demanda normal,Demanda normal
37.76,111,464,20,0,38.43,1,1,0.8521898909653143,Alta demanda,Alta demanda
16.9,183,279,5,1,13.56,1,1,0.5173976316098154,Alta demanda,Alta demanda
14.37,151,148,5,1,15.59,0,0,0.24446862748724124,Demanda normal,Demanda normal
45.11,37,323,10,0,41.92,1,1,0.6091552662451281,Alta demanda,Alta demanda
92.89,180,250,5,1,89.23,0,0,0.44004667617217136,Demanda normal,Demanda normal
37.73,78,248,10,1,40.7,0,0,0.4429767886929196,Demanda normal,Demanda normal
20.06,143,450,20,0,24.82,0,1,0.8369541514059606,Demanda normal,Alta demanda
54.55,41,194,20,0,52.0,1,0,0.32591689904270343,Alta demanda,Demanda normal
29.13,80,359,0,1,27.84,1,1,0.6852830665871692,Alta demanda,Alta demanda
83.6,32,94,15,0,79.78,0,0,0.1592880786106418,Demanda normal,Demanda normal
45.07,84,418,20,0,47.2,1,1,0.7900466185008134,Alta demanda,Alta demanda
16.24,61,428,20,0,15.27,1,1,0.8073984562811515,Alta demanda,Alta demanda
25.57,89,414,0,1,25.29,1,1,0.7829009786751447,Alta demanda,Alta demanda
92.28,106,336,5,0,91.41,0,1,0.6299246416211532,Demanda normal,Alta demanda
50.54,139,168,15,1,49.5,1,0,0.2778626452559031,Alta demanda,Demanda normal
51.27,111,365,20,1,53.46,1,1,0.6997119170857371,Alta demanda,Alta demanda
39.11,43,458,5,1,43.81,1,1,0.8425807799711188,Alta demanda,Alta demanda
43.22,98,64,5,0,43.31,0,0,0.12761748703575382,Demanda normal,Demanda normal
90.64,79,313,10,1,95.33,1,1,0.5822144013787086,Alta demanda,Alta demanda
82.43,156,267,20,1,83.5,1,0,0.4840564420025754,Alta demanda,Demanda normal
72.5,148,60,20,0,76.57,0,0,0.12399713566716834,Demanda normal,Demanda normal
74.42,168,478,5,0,69.67,0,1,0.8634753967432837,Demanda normal,Alta demanda
82.14,22,68,0,0,86.2,0,0,0.1276251104810903,Demanda normal,Demanda normal
35.13,180,322,20,1,32.48,1,1,0.6152942204638964,Alta demanda,Alta demanda
73.66,144,240,5,0,76.39,1,0,0.4178538714420188,Alta demanda,Demanda normal
70.11,38,259,10,0,70.07,0,0,0.46097816344302533,Demanda normal,Demanda normal
67.21,195,260,10,0,72.2,1,0,0.4660728325340398,Alta demanda,Demanda normal
54.53,142,272,10,0,50.68,1,0,0.49507039777939077,Alta demanda,Demanda normal
70.58,105,318,15,1,69.63,1,1,0.5985799545497164,Alta demanda,Alta demanda
73.01,159,210,10,0,70.61,1,0,0.3552546347135524,Alta demanda,Demanda normal
71.54,190,60,0,0,76.11,0,0,0.12164729620237152,Demanda normal,Demanda normal
82.14,83,386,0,0,83.53,0,1,0.7282419958197068,Demanda normal,Alta demanda
72.89,59,328,15,1,76.62,1,1,0.6188485091657757,Alta demanda,Alta demanda
33.56,193,139,10,0,31.96,0,0,0.22826095952448142,Demanda normal,Demanda normal
95.64,135,331,10,0,100.61,0,1,0.620283447286955,Demanda normal,Alta demanda
21.43,56,148,20,1,25.14,0,0,0.24578103937182788,Demanda normal,Demanda normal
91.77,88,453,5,1,96.2,1,1,0.8325067387958899,Alta demanda,Alta demanda
96.71,130,391,10,0,101.1,1,1,0.7383869993765111,Alta demanda,Alta demanda
46.46,144,305,15,1,51.41,0,1,0.573544521275808,Demanda normal,Alta demanda
